Structure stats
===============
| scene  |  v  |next| hazard  |  safe   |uncertain|
|c03_1   |vdef | inf|        0|        1|        1|
|s03_2   |vdef | inf|        0|        0|        0|
|c07_3   |v01  | inf|        0|        0|        1|
|c09_2   |v10  | inf|        1|        5|        1|
|s01_1   |vdef | inf|        0|        0|        0|
|c05_2   |vdef | inf|        0|        0|        0|
|c10_6   |v00  | inf|        0|        5|        2|
|s05_1   |vdef | inf|        0|        0|        0|
|s01_2   |vdef | inf|        0|        0|        0|
|--------+-----+----+---------+---------+---------|
|c10_8   |v00  | inf|        0|        3|        1|
|s02_1   |vdef | inf|        0|        0|        0|
|s08_4   |vdef | inf|        0|        0|        0|
|s04_2   |vdef | inf|        0|        0|        0|
|c09_1   |v01  | inf|        1|        2|        1|
|c10_3   |v00  | inf|        1|        3|        0|
|s08_3   |vdef | inf|        0|        0|        0|
|s10_1   |vdef | inf|        0|        0|        0|
|c10_4   |v11  | inf|        2|        2|        1|
|s04_1   |vdef | inf|        0|        0|        0|
|c10_5   |v10  | inf|        1|        2|        0|
|c10_2   |v10  | inf|        1|        1|        1|
|--------+-----+----+---------+---------+---------|
|c04_1   |v1   | inf|        1|        2|        1|
|c10_1   |v1   | inf|        1|        2|        1|
|c08_4   |v1   | inf|        1|        1|        3|
|s09_3   |vdef | inf|        0|        0|        0|
|c09_3   |v01  | inf|        1|        1|        1|
|c08_5   |v0   | inf|        1|        0|        4|
|s09_5   |vdef | inf|        0|        0|        0|
|s08_1   |vdef | inf|        0|        0|        0|
|s09_4   |vdef | inf|        0|        0|        0|
|c06_2   |v0   | inf|        0|        5|        0|
|s09_6   |vdef | inf|        0|        0|        0|
|s09_2   |vdef | inf|        0|        0|        0|
|--------+-----+----+---------+---------+---------|
|s06_2   |vdef | inf|        0|        0|        0|
|c08_3   |v0   | inf|        0|        1|        2|
|s07_2   |vdef | inf|        0|        0|        0|
|s09_1   |vdef | inf|        0|        0|        0|
|c08_1   |v0   | inf|        0|        0|        3|
|s07_1   |vdef | inf|        0|        0|        0|
|c08_2   |v0   | inf|        0|        1|        2|
|s03_1   |vdef | inf|        0|        0|        0|
|c06_1   |v0   | inf|        0|        3|        0|
|c05_1   |v0   | inf|        0|        2|        1|
|c01_2   |v0   | inf|        0|        2|        2|
|s06_1   |vdef | inf|        0|        0|        0|
|--------+-----+----+---------+---------+---------|



|         Summary         |     |      |
|-------------------------+-----+------|
|dupl. per scene          |min  |  4.00|
|                         |mean |  5.00|
|                         |max  |  6.00|
|-------------------------+-----+------|
|dupl. per seq.           |min  |  1.00|
|                         |mean |  2.73|
|                         |max  |  6.00|
|-------------------------+-----+------|
|inter-scene-dists        |min  | 28.00|
|                         |mean | 47.88|
|                         |max  | 67.00|
|-------------------------+-----+------|
|simple scenes            |     |120.00|
|complex scenes           |     |120.00|
|-------------------------+-----+------|
|hazard                   |     | 78.00|
|safe                     |     |223.00|
|uncertain                |     |137.00|
|-------------------------+-----+------|
